x,y
2.4,10.71428571
2.4,19.0952381
2.4,16.3452381
2.4,29.5818544
2.4,30.41198357
2.4,19.3452381
2.4,22.54761905
2.4,17.95833333
2.4,22.28571429
2.4,13.82738095
2.4,13.18452381
2.4,22.16071429
2.4,11.10714286
2.4,19.82738095
2.4,22.69047619
2.4,11.85119048
2.4,15.89285714
2.4,16.75595238
2.4,20.10714286
2.4,12.35714286
2.55,15.39285714
2.55,12.61309524
2.55,20.75
2.55,29.125
2.55,27.4047619
2.55,13.35714286
2.55,12.60714286
2.55,16.9702381
2.55,22.25
2.55,20.53571429
2.55,16.45238095
2.55,15.39880952
2.55,15.85714286
2.55,13.27380952
2.55,30.32410364
2.55,23.21428571
2.55,15.01785714
2.55,10.55357143
2.55,18.32142857
2.55,19.81547619
2.7,15.125
2.7,21.50595238
2.7,13.95238095
2.7,16.38095238
2.7,14.97619048
2.7,21.01190476
2.7,19.30357143
2.7,18.86309524
2.7,14.75
2.7,16.39285714
2.7,21.80952381
2.7,29.91071429
2.7,15.57738095
2.7,20.76785714
2.7,26.44047619
2.7,27.17261905
2.7,17.75
2.7,18.20833333
2.7,20.97619048
2.7,19.88690476
2.85,12.30357143
2.85,12.47619048
2.85,18.42261905
2.85,12.91666667
2.85,18.04166667
2.85,22.24404762
2.85,17
2.85,23.28571429
2.85,14.89880952
2.85,13.51190476
2.85,15.25595238
2.85,17.00595238
2.85,18.29761905
2.85,13.41071429
2.85,14.2202381
2.85,13.57738095
2.85,17.22619048
2.85,14.05357143
2.85,19.29166667
2.85,22.51190476
3,13.82738095
3,19.16666667
3,17.26190476
3,11.85119048
3,19.31547619
3,15.125
3,30.33170665
3,26.88095238
3,13.69642857
3,18.20238095
3,14.30357143
3,18.39285714
3,19.83333333
3,22
3,21.2797619
3,16.46428571
3,14.32142857
3,22.06547619
3,19.36309524
3,13.99404762
3.15,29.32738095
3.15,13.41666667
3.15,14.67857143
3.15,15.11309524
3.15,20.4047619
3.15,18.4047619
3.15,21.02380952
3.15,15.42857143
3.15,17.61904762
3.15,13.1547619
3.15,16.10714286
3.15,12.98214286
3.15,20.48214286
3.15,16.67261905
3.15,28.1086858
3.15,14.70833333
3.15,18.10714286
3.15,16.70833333
3.15,12.63690476
3.15,12.25595238
3.3,18.63690476
3.3,13.39285714
3.3,15.39880952
3.3,17.96428571
3.3,16.14880952
3.3,14.26785714
3.3,16.75
3.3,14.73809524
3.3,16.9047619
3.3,21.1547619
3.3,15.42857143
3.3,23.10119048
3.3,12.2797619
3.3,22.01190476
3.3,18.23809524
3.3,16.10714286
3.3,13.98214286
3.3,13.52380952
3.3,13.14285714
3.3,21.50595238
3.45,17.25595238
3.45,26.50595238
3.45,24.14880952
3.45,13.78571429
3.45,16
3.45,15.5
3.45,24.95833333
3.45,15.63095238
3.45,22.27380952
3.45,13.60714286
3.45,20.74404762
3.45,18.20833333
3.45,13.5952381
3.45,21.80952381
3.45,31.5262982
3.45,19.51190476
3.45,27.7202381
3.45,28.05357143
3.45,15.3452381
3.45,10.69642857
3.6,15.13095238
3.6,15.76190476
3.6,14.69642857
3.6,18.58333333
3.6,14.67857143
3.6,14.68452381
3.6,20.4047619
3.6,20.52380952
3.6,18.85119048
3.6,13.13690476
3.6,11.80952381
3.6,17.77380952
3.6,16.88690476
3.6,14.51785714
3.6,18.11904762
3.6,15
3.6,15.92261905
3.6,11.2202381
3.6,20.98809524
3.6,15.24404762
