x,y
4.8,29.69134255
4.8,25.80952381
4.8,19.44642857
4.8,15.01190476
4.8,19.53571429
4.8,17.61904762
4.8,17.5952381
4.8,21.70238095
4.8,15.13690476
4.8,24.42857143
4.8,28.9702381
4.8,20.76785714
4.8,16.375
4.8,18.16071429
4.8,24.23809524
4.8,30.17477305
4.8,22.89285714
4.8,29.96826774
4.8,15.5
4.8,23.38095238
5.1,22.05357143
5.1,25.16666667
5.1,16.61904762
5.1,22.30952381
5.1,14.48809524
5.1,17.81547619
5.1,13.19047619
5.1,13.14285714
5.1,27.30357143
5.1,18.92857143
5.1,29.99075412
5.1,20.49404762
5.1,17.64880952
5.1,25.75
5.1,21.05952381
5.1,28.96795467
5.1,26.5
5.1,24.66666667
5.1,15.67857143
5.1,28.87365901
5.4,18.16666667
5.4,15.64880952
5.4,23.07142857
5.4,21.5
5.4,21.91666667
5.4,18.07142857
5.4,14.41666667
5.4,25.41071429
5.4,29.11307108
5.4,12.125
5.4,21.73809524
5.4,23.32738095
5.4,16.44642857
5.4,19.41071429
5.4,19.04761905
5.4,16.01190476
5.4,17.89880952
5.4,16.375
5.4,14.94047619
5.4,12.88095238
5.7,27.71428571
5.7,14.16666667
5.7,20.32142857
5.7,25.5
5.7,20.99404762
5.7,13.14880952
5.7,14.51785714
5.7,18.35714286
5.7,21.82738095
5.7,15.46428571
5.7,23.07142857
5.7,18.82738095
5.7,17.44047619
5.7,13.45238095
5.7,14.20238095
5.7,19.16666667
5.7,16.55357143
5.7,19.08333333
5.7,21.61309524
5.7,19.13095238
6,13.82738095
6,19.16666667
6,17.26190476
6,11.85119048
6,19.31547619
6,15.125
6,31.00706362
6,26.88095238
6,13.69642857
6,18.20238095
6,14.30357143
6,18.39285714
6,19.83333333
6,22
6,21.2797619
6,16.46428571
6,14.32142857
6,22.06547619
6,19.36309524
6,13.99404762
6.3,12.57738095
6.3,12.41071429
6.3,14.02380952
6.3,27.43452381
6.3,16.61904762
6.3,16.9702381
6.3,14.78571429
6.3,15.24404762
6.3,13.29761905
6.3,16.66666667
6.3,23.0952381
6.3,13.66666667
6.3,21.08333333
6.3,17.16071429
6.3,20.13095238
6.3,16.88690476
6.3,19.42261905
6.3,27.80357143
6.3,23.55952381
6.3,12.55357143
6.6,16.66071429
6.6,27.14285714
6.6,16.11904762
6.6,18.21428571
6.6,15.4702381
6.6,20.79761905
6.6,19.76785714
6.6,12.67857143
6.6,15.55952381
6.6,12.97619048
6.6,14.43452381
6.6,15.45833333
6.6,22.9047619
6.6,15.625
6.6,20.80357143
6.6,14.51190476
6.6,12.25595238
6.6,18.55952381
6.6,20.82142857
6.6,11.60119048
6.9,19.375
6.9,13.45833333
6.9,12.86309524
6.9,16.91071429
6.9,21.82738095
6.9,18.41666667
6.9,18.69642857
6.9,14.01785714
6.9,12.11904762
6.9,13.1547619
6.9,13.64285714
6.9,18.07738095
6.9,15.61309524
6.9,14.32142857
6.9,12.66071429
6.9,25.70238095
6.9,14.14880952
6.9,15.24404762
6.9,20.30357143
6.9,14.82142857
7.2,14.80357143
7.2,14.45238095
7.2,12.20833333
7.2,19.13690476
7.2,22.48214286
7.2,20.14880952
7.2,13.63095238
7.2,17.22619048
7.2,20.29761905
7.2,21.44642857
7.2,12.42857143
7.2,13.00595238
7.2,22.58928571
7.2,12.32738095
7.2,21.82738095
7.2,20.46428571
7.2,31.41477907
7.2,14.68452381
7.2,20.83928571
7.2,24.35714286
