x,y,,,,
12000,11.52380952,,,,11.52380952
12000,23.30952381,,,,23.30952381
12000,16.51190476,,,,16.51190476
12000,25.21428571,,,,25.21428571
12000,17.55357143,,,,17.55357143
12000,23.1547619,,,,23.1547619
12000,29.86309524,,,,29.86309524
12000,23.10714286,,,,23.10714286
12000,15.54166667,,,,15.54166667
12000,16.0952381,,,,16.0952381
12000,20.10714286,,,,20.10714286
12000,19.99404762,,,,19.99404762
12000,14.05952381,,,,14.05952381
12000,13.625,,,,13.625
12000,23.39285714,,,,23.39285714
12000,17.69047619,,,,17.69047619
12000,13.17261905,,,,13.17261905
12000,18.89880952,,,,18.89880952
12000,29.98163003,,,,0
12000,12.05952381,,,,12.05952381
12750,16.54761905,,,,16.54761905
12750,22.5952381,,,,22.5952381
12750,14.48214286,,,,14.48214286
12750,11.33333333,,,,11.33333333
12750,28.07435724,,,,0
12750,24.98214286,,,,24.98214286
12750,12.33333333,,,,12.33333333
12750,22.29166667,,,,22.29166667
12750,13.16666667,,,,13.16666667
12750,20.20238095,,,,20.20238095
12750,23.86309524,,,,23.86309524
12750,22.26190476,,,,22.26190476
12750,16.35714286,,,,16.35714286
12750,23.23214286,,,,23.23214286
12750,10.78571429,,,,10.78571429
12750,17.97619048,,,,17.97619048
12750,15.41071429,,,,15.41071429
12750,18.67857143,,,,18.67857143
12750,11.80952381,,,,11.80952381
12750,14.69642857,,,,14.69642857
13500,16.06547619,,,,16.06547619
13500,24.11904762,,,,24.11904762
13500,18.91071429,,,,18.91071429
13500,15.5,,,,15.5
13500,21.19642857,,,,21.19642857
13500,27.7202381,,,,27.7202381
13500,11.49404762,,,,11.49404762
13500,16.71428571,,,,16.71428571
13500,29.53571429,,,,29.53571429
13500,17.31547619,,,,17.31547619
13500,17.00595238,,,,17.00595238
13500,15.26190476,,,,15.26190476
13500,17.32142857,,,,17.32142857
13500,16.36904762,,,,16.36904762
13500,13.86309524,,,,13.86309524
13500,13.67261905,,,,13.67261905
13500,12.36309524,,,,12.36309524
13500,11.75595238,,,,11.75595238
13500,15.625,,,,15.625
13500,29.42261905,,,,29.42261905
14250,21.64285714,,,,21.64285714
14250,11.86309524,,,,11.86309524
14250,19.56547619,,,,19.56547619
14250,18.48809524,,,,18.48809524
14250,12.23214286,,,,12.23214286
14250,30.4435822,,,,0
14250,17.89285714,,,,17.89285714
14250,30.20481594,,,,0
14250,13.4047619,,,,13.4047619
