x,y
2.4,14.70833333
2.4,12.3452381
2.4,15.66666667
2.4,17.0297619
2.4,20.8452381
2.4,14.27380952
2.4,29.05126209
2.4,15.28571429
2.4,16.47619048
2.4,21.375
2.4,14.07738095
2.4,16.875
2.4,23.13095238
2.4,17.38095238
2.4,21.99404762
2.4,15.4702381
2.4,19.70833333
2.4,13.13095238
2.4,18.73214286
2.4,11.39880952
2.55,13.43452381
2.55,22.55357143
2.55,14.83333333
2.55,16.625
2.55,22.86904762
2.55,21.5952381
2.55,15.73214286
2.55,20.71428571
2.55,24.38095238
2.55,13.69047619
2.55,20.51785714
2.55,23.66666667
2.55,11.47619048
2.55,11.31547619
2.55,15.82142857
2.55,19.70833333
2.55,22.21428571
2.55,14.70833333
2.55,17.32738095
2.55,18.36309524
2.7,14.35714286
2.7,12.80952381
2.7,29.84461837
2.7,20.97619048
2.7,15.16071429
2.7,19.61904762
2.7,28.19642857
2.7,14.7797619
2.7,16.5
2.7,14.30952381
2.7,31.73763906
2.7,13.2202381
2.7,13.85119048
2.7,18.45833333
2.7,15.29761905
2.7,16.36309524
2.7,13.41071429
2.7,16.98809524
2.7,12.31547619
2.7,23.58928571
2.85,20.44047619
2.85,26.11904762
2.85,17.72619048
2.85,16.2797619
2.85,13.1547619
2.85,31.15313611
2.85,14.2797619
2.85,14.91666667
2.85,16.31547619
2.85,16.08928571
2.85,28.96951992
2.85,19.64880952
2.85,24.0297619
2.85,27.68452381
2.85,15.29761905
2.85,14.66666667
2.85,26.05357143
2.85,13.86309524
2.85,18.79761905
2.85,17.70238095
3,13.82738095
3,19.16666667
3,17.26190476
3,11.85119048
3,19.31547619
3,15.125
3,31.43839223
3,26.88095238
3,13.69642857
3,18.20238095
3,14.30357143
3,18.39285714
3,19.83333333
3,22
3,21.2797619
3,16.46428571
3,14.32142857
3,22.06547619
3,19.36309524
3,13.99404762
3.15,20.88690476
3.15,28.67261905
3.15,17.54761905
3.15,11.85714286
3.15,21.36309524
3.15,24.13095238
3.15,17.05952381
3.15,19.51785714
3.15,14.68452381
3.15,15.06547619
3.15,21.35119048
3.15,20.72619048
3.15,12.26785714
3.15,17.43452381
3.15,18.35119048
3.15,16.89880952
3.15,19.55952381
3.15,18.94642857
3.15,19.88095238
3.15,18.93452381
3.3,14.78571429
3.3,16.36904762
3.3,21.26785714
3.3,15.44047619
3.3,11.26785714
3.3,17.41666667
3.3,13.47619048
3.3,14.75
3.3,16.35714286
3.3,20.1547619
3.3,14.58928571
3.3,26.83928571
3.3,19.625
3.3,23.63095238
3.3,19.44047619
3.3,13.29761905
3.3,18.31547619
3.3,13.53571429
3.3,18.64880952
3.3,29.95238095
3.45,15.80357143
3.45,16.56547619
3.45,11.26785714
3.45,12.33928571
3.45,17.58928571
3.45,16.91071429
3.45,17.07142857
3.45,22.67261905
3.45,11.89880952
3.45,16.14880952
3.45,25.97619048
3.45,17.07142857
3.45,13.76190476
3.45,20.00595238
3.45,13.36904762
3.45,21.97619048
3.45,14.45833333
3.45,28.95618918
3.45,16.11904762
3.45,15.69642857
3.6,13.56547619
3.6,19.22619048
3.6,16.17857143
3.6,18.66666667
3.6,15.54761905
3.6,20.51190476
3.6,19.83928571
3.6,17.30952381
3.6,25.25
3.6,25.06547619
3.6,23.54166667
3.6,21.61904762
3.6,16.55357143
3.6,11.28571429
3.6,12.66666667
3.6,13.73214286
3.6,17.68452381
3.6,14.47619048
3.6,14.54166667
3.6,13.42857143
