x,y
36,18.83333333
36,15.99404762
36,15.41666667
36,16.27380952
36,16.57738095
36,20.55357143
36,16.95238095
36,12.13095238
36,13.45833333
36,13.53571429
36,22.66071429
36,13.96428571
36,16.07142857
36,13.41666667
36,16.86904762
36,15.44047619
36,15.69642857
36,16.95833333
36,12.6547619
36,12.80357143
38,16.98214286
38,20.01785714
38,18.73214286
38,22.01785714
38,18.875
38,20.69642857
38,17.39880952
38,14.11904762
38,11.98214286
38,15.63095238
38,20.81547619
38,18.39880952
38,11.79166667
38,18.32142857
38,16.82142857
38,12.58928571
38,13.73809524
38,15.42261905
38,23.25595238
38,14.32738095
41,13.76785714
41,13.94047619
41,16.0952381
41,20.01190476
41,14.99404762
41,12.88690476
41,17.95833333
41,17.50595238
41,14.10714286
41,22.51190476
41,29.21305352
41,12.45238095
41,24.93452381
41,15.66071429
41,12.86904762
41,14.0297619
41,17.4702381
41,13.63690476
41,17.16071429
41,11.53571429
43,11.79761905
43,24.00595238
43,15.54166667
43,15.76190476
43,14.61309524
43,23.5
43,13.58333333
43,12.07142857
43,23.22619048
43,11.80357143
43,13.42857143
43,15
43,23.38095238
43,14.82738095
43,21.29761905
43,16.63690476
43,25.81547619
43,14.21428571
43,15.83333333
43,11.7202381
45,13.82738095
45,19.16666667
45,17.26190476
45,11.85119048
45,19.31547619
45,15.125
45,31.22726576
45,26.88095238
45,13.69642857
45,18.20238095
45,14.30357143
45,18.39285714
45,19.83333333
45,22
45,21.2797619
45,16.46428571
45,14.32142857
45,22.06547619
45,19.36309524
45,13.99404762
47,29.52392943
47,18.54166667
47,14.85119048
47,15.14880952
47,24.16071429
47,13.30952381
47,12.04166667
47,14.29761905
47,15.42857143
47,15.42857143
47,23.92857143
47,11.73214286
47,22.88690476
47,28.5851638
47,25.41666667
47,14.32142857
47,27.16666667
47,14.0297619
47,21.57142857
47,17.69047619
50,27.24404762
50,12.48809524
50,12.80357143
50,24.125
50,15.72619048
50,27.7202381
50,13.43452381
50,16.76785714
50,17.30952381
50,15.73809524
50,16.80952381
50,23.5297619
50,16.54166667
50,14.02380952
50,18.29761905
50,14.05952381
50,28.58333333
50,22.92857143
50,17.08928571
50,19.58333333
52,22.60714286
52,17.10119048
52,28.27380952
52,24.1547619
52,14.95238095
52,22.35119048
52,14.57738095
52,24.07142857
52,30.58168786
52,26.38095238
52,27.33333333
52,16.92261905
52,20.08333333
52,29.07145548
52,19.70238095
52,20.26785714
52,15.48809524
52,25.35714286
52,13.42857143
52,17.58928571
54,21.11904762
54,16.08333333
54,13.2797619
54,15.2202381
54,23.98809524
54,22.92857143
54,18.33928571
54,14.28571429
54,13.71428571
54,15.79761905
54,20.04166667
54,31.25244512
54,15.11904762
54,15.91666667
54,20.99404762
54,19.39880952
54,18.66071429
54,25.48809524
54,19.21428571
54,29.54924283
