x,y
4,20.05357143
4,22.32738095
4,21.43452381
4,14.86904762
4,13.625
4,16.44642857
4,15.57738095
4,20.69047619
4,26.03571429
4,24.79166667
4,18.57738095
4,14.23214286
4,22.03571429
4,29.21592394
4,13.1547619
4,12.96428571
4,15.4047619
4,14.20238095
4,28.98214286
4,14.51190476
4.25,16.31547619
4.25,13.95238095
4.25,24.58928571
4.25,15.44047619
4.25,21.48214286
4.25,15.32738095
4.25,18.08928571
4.25,15.5
4.25,15.72619048
4.25,14.54166667
4.25,17.93452381
4.25,15.41071429
4.25,17.55952381
4.25,13.57142857
4.25,16.14285714
4.25,14.35714286
4.25,17.30357143
4.25,27.41666667
4.25,13.73809524
4.25,21.5297619
4.5,13.29761905
4.5,19.27380952
4.5,17.92261905
4.5,23.07142857
4.5,14.33928571
4.5,12.3452381
4.5,13.82142857
4.5,13.1547619
4.5,16.23809524
4.5,20.50595238
4.5,24.66666667
4.5,12.88095238
4.5,18.04761905
4.5,12.79761905
4.5,15.27380952
4.5,28.75
4.5,16.29761905
4.5,17.16666667
4.5,12.6547619
4.5,14.88690476
4.75,13.36309524
4.75,19.18452381
4.75,15.42261905
4.75,23.8452381
4.75,16.02380952
4.75,17.18452381
4.75,18.01190476
4.75,13.44047619
4.75,18.01190476
4.75,21.89880952
4.75,15.7202381
4.75,19.30357143
4.75,19.58333333
4.75,15.39880952
4.75,20.29761905
4.75,12.7202381
4.75,22.78571429
4.75,22.95833333
4.75,15.66071429
4.75,13.88690476
5,13.82738095
5,19.16666667
5,17.26190476
5,11.85119048
5,19.31547619
5,15.125
5,30.14397087
5,26.88095238
5,13.69642857
5,18.20238095
5,14.30357143
5,18.39285714
5,19.83333333
5,22
5,21.2797619
5,16.46428571
5,14.32142857
5,22.06547619
5,19.36309524
5,13.99404762
5.25,11.5
5.25,26.07738095
5.25,19.16071429
5.25,19.56547619
5.25,20.53571429
5.25,15.66666667
5.25,17.60714286
5.25,25.625
5.25,19.73809524
5.25,17.51190476
5.25,19.86904762
5.25,14.48809524
5.25,13.19642857
5.25,14.56547619
5.25,24.11904762
5.25,15.00595238
5.25,22.38690476
5.25,24.95238095
5.25,20.79761905
5.25,21.875
5.5,15.18452381
5.5,15.38095238
5.5,13.79761905
5.5,21.85119048
5.5,15.73214286
5.5,21.46428571
5.5,15.01785714
5.5,14
5.5,23.57738095
5.5,15.42261905
5.5,19.38690476
5.5,19.3452381
5.5,15.9047619
5.5,12.60119048
5.5,27.00595238
5.5,16.04761905
5.5,18.375
5.5,16.5297619
5.5,17.38095238
5.5,14.72619048
5.75,16.94642857
5.75,15.25
5.75,27.68452381
5.75,18.70833333
5.75,12.71428571
5.75,20.7797619
5.75,17.47619048
5.75,16.98214286
5.75,14.73214286
5.75,27.39880952
5.75,21.0297619
5.75,13.96428571
5.75,19.32142857
5.75,14.54166667
5.75,29.61904762
5.75,16.36904762
5.75,19.6547619
5.75,12.02380952
5.75,16.44047619
5.75,26.08333333
6,12.43452381
6,15.875
6,17.58333333
6,27.04166667
6,13.50595238
6,23.6547619
6,13.72619048
6,23.01190476
6,13.66071429
6,26.63690476
6,16.30357143
6,16.85714286
6,17.5952381
6,14.83333333
6,12.38095238
6,15.06547619
6,11.81547619
6,16.78571429
6,15.10119048
6,24.07142857
