x,y
3.2,23.83333333
3.2,19.82142857
3.2,11.76785714
3.2,13.42261905
3.2,10.4702381
3.2,20.43452381
3.2,16.0952381
3.2,9.636904762
3.2,13.16666667
3.2,15.73214286
3.2,21.71428571
3.2,14.53571429
3.2,16.77380952
3.2,20.86309524
3.2,11.28571429
3.2,14.39880952
3.2,15.24404762
3.2,12.48214286
3.2,17.14880952
3.2,15.88690476
3.4,20.23214286
3.4,17.14880952
3.4,20.4702381
3.4,17.36309524
3.4,15.01785714
3.4,15.71428571
3.4,15.22619048
3.4,24.14880952
3.4,14.99404762
3.4,11.0297619
3.4,13.93452381
3.4,13.16071429
3.4,16.01785714
3.4,15.7202381
3.4,17.91666667
3.4,12.5297619
3.4,12.33333333
3.4,19.54761905
3.4,13.3452381
3.4,11.76785714
3.6,13.58928571
3.6,17.1547619
3.6,13.16071429
3.6,16.70833333
3.6,14.61309524
3.6,14.04166667
3.6,14.81547619
3.6,11.77380952
3.6,13.44047619
3.6,18.11904762
3.6,15.45238095
3.6,16.13095238
3.6,13.10119048
3.6,12.80357143
3.6,21.125
3.6,12.75
3.6,16.58928571
3.6,14.70238095
3.6,20.17261905
3.6,14.27380952
3.8,11.55357143
3.8,17.92857143
3.8,19.32738095
3.8,24.07142857
3.8,15.54166667
3.8,18.7797619
3.8,13.60714286
3.8,17.56547619
3.8,14.58928571
3.8,13.49404762
3.8,13.33333333
3.8,19.31547619
3.8,14.51785714
3.8,14.07738095
3.8,31.99472663
3.8,19.0297619
3.8,20.96428571
3.8,17.7202381
3.8,14.19642857
3.8,16.74404762
4,13.82738095
4,19.16666667
4,17.26190476
4,11.85119048
4,19.31547619
4,15.125
4,28.23567735
4,26.88095238
4,13.69642857
4,18.20238095
4,14.30357143
4,18.39285714
4,19.83333333
4,22
4,21.2797619
4,16.46428571
4,14.32142857
4,22.06547619
4,19.36309524
4,13.99404762
4.2,14.43452381
4.2,15.88095238
4.2,14.69642857
4.2,21.75595238
4.2,21.28571429
4.2,21.73214286
4.2,14.16666667
4.2,17.80357143
4.2,15.05357143
4.2,17.51785714
4.2,21.26785714
4.2,12.93452381
4.2,28.36228818
4.2,14.41071429
4.2,13.36309524
4.2,15.42261905
4.2,29.43493193
4.2,18.25
4.2,21.30357143
4.2,16.38095238
4.4,25.98809524
4.4,27.14880952
4.4,28.95238095
4.4,31.58257293
4.4,17.08928571
4.4,14.7797619
4.4,14.41666667
4.4,18.88690476
4.4,13.53571429
4.4,21.36904762
4.4,17.25595238
4.4,22.36309524
4.4,10.77380952
4.4,28.95683379
4.4,14.30357143
4.4,27.50595238
4.4,29.08800839
4.4,15.74404762
4.4,28.21015034
4.4,20.47619048
4.6,29.18745833
4.6,13.67261905
4.6,22.54166667
4.6,12.88690476
4.6,11.53571429
4.6,24.30357143
4.6,19.14880952
4.6,14.75595238
4.6,18.96428571
4.6,14.21428571
4.6,14.81547619
4.6,18.80952381
4.6,22.31547619
4.6,18.17857143
4.6,20.81547619
4.6,16.79166667
4.6,12.51785714
4.6,16.05952381
4.6,27.45238095
4.6,14.51785714
4.8,12.61309524
4.8,11.56547619
4.8,28.67420519
4.8,21.74404762
4.8,16.10714286
4.8,26.89880952
4.8,14.89880952
4.8,13.88690476
4.8,12.6547619
4.8,15.97619048
4.8,17.08928571
4.8,17.70833333
4.8,25.23214286
4.8,19.71428571
4.8,20.875
4.8,17.66666667
4.8,28.37236467
4.8,18.45833333
4.8,17.39880952
4.8,21.58928571
