x,y
3.2,16.38095238
3.2,25.97619048
3.2,16.00595238
3.2,19.28571429
3.2,12.32738095
3.2,14.36904762
3.2,21.23809524
3.2,19.4047619
3.2,20.94047619
3.2,15.44047619
3.2,20.00595238
3.2,13.46428571
3.2,14.60119048
3.2,19.75
3.2,15.8452381
3.2,19.67261905
3.2,17.16071429
3.2,17.33928571
3.2,14.72619048
3.2,14.07738095
3.4,31.0024359
3.4,25.18452381
3.4,25.75595238
3.4,15.9702381
3.4,12.875
3.4,12.06547619
3.4,19.13095238
3.4,12.32738095
3.4,18.11309524
3.4,21.76785714
3.4,19.44047619
3.4,16.23214286
3.4,16.9047619
3.4,11.30952381
3.4,14.4702381
3.4,14.10714286
3.4,15.11904762
3.4,28.90320137
3.4,14.05952381
3.4,15.95833333
3.6,28.55357143
3.6,13.71428571
3.6,16.79166667
3.6,13.94047619
3.6,18.01785714
3.6,22.51785714
3.6,31.57102427
3.6,17.42857143
3.6,15.01190476
3.6,16.01190476
3.6,14.8452381
3.6,18.81547619
3.6,15.86309524
3.6,17.3452381
3.6,21.48214286
3.6,17.47619048
3.6,12.41666667
3.6,15.63690476
3.6,15.6547619
3.6,20.94047619
3.8,18.9047619
3.8,11.5297619
3.8,13.45833333
3.8,17.07142857
3.8,15.26190476
3.8,19.33333333
3.8,17.20238095
3.8,21.16071429
3.8,20.17261905
3.8,16.73809524
3.8,14.91666667
3.8,17.5
3.8,15.80357143
3.8,18.74404762
3.8,14.85714286
3.8,29.32142857
3.8,13.13690476
3.8,18.64285714
3.8,15.95238095
3.8,21.43452381
4,13.82738095
4,19.16666667
4,17.26190476
4,11.85119048
4,19.31547619
4,15.125
4,28.44874905
4,26.88095238
4,13.69642857
4,18.20238095
4,14.30357143
4,18.39285714
4,19.83333333
4,22
4,21.2797619
4,16.46428571
4,14.32142857
4,22.06547619
4,19.36309524
4,13.99404762
4.2,16.08928571
4.2,18.88095238
4.2,17.72619048
4.2,28.36904762
4.2,26.10714286
4.2,17.64880952
4.2,14.27380952
4.2,14.43452381
4.2,17.04166667
4.2,13.58333333
4.2,24.11309524
4.2,15.96428571
4.2,22.80357143
4.2,20.99404762
4.2,18.75595238
4.2,16.30952381
4.2,14.38095238
4.2,24.04761905
4.2,16.52380952
4.2,17.78571429
4.4,22.02380952
4.4,29.47619048
4.4,15.625
4.4,17.58333333
4.4,22.50595238
4.4,23.44642857
4.4,17.38095238
4.4,13.13690476
4.4,16.03571429
4.4,20.85119048
4.4,12.14880952
4.4,18.24404762
4.4,20.44642857
4.4,15.33928571
4.4,12.06547619
4.4,15.81547619
4.4,21.03571429
4.4,16.04166667
4.4,22.02380952
4.4,11.30357143
4.6,10.45833333
4.6,15.45833333
4.6,15.78571429
4.6,27.6547619
4.6,20.64285714
4.6,19.22619048
4.6,30.19200571
4.6,12.54761905
4.6,21.31547619
4.6,16.29166667
4.6,13.08928571
4.6,15.125
4.6,16.01190476
4.6,18.51190476
4.6,12.86309524
4.6,13.875
4.6,22.69047619
4.6,12.55357143
4.6,30.56985157
4.6,22.29761905
4.8,14.55952381
4.8,28.30952381
4.8,24.82142857
4.8,13.9702381
4.8,16.17857143
4.8,16.88095238
4.8,15.06547619
4.8,14.96428571
4.8,16.42857143
4.8,17.46428571
4.8,16.78571429
4.8,31.07831151
4.8,15.23809524
4.8,13.23214286
4.8,14.16071429
4.8,28.23819761
4.8,13.28571429
4.8,15.27380952
4.8,12.36309524
4.8,27.0952381
