x,y
0.64,17.95238095
0.64,24.36309524
0.64,14.86904762
0.64,18.10714286
0.64,14.4702381
0.64,18.375
0.64,19.85119048
0.64,28.57142857
0.64,19.0297619
0.64,17.00595238
0.64,26.11904762
0.64,19.66666667
0.64,21.125
0.64,13.08333333
0.64,14.30952381
0.64,15.67261905
0.64,16.125
0.64,19.43452381
0.64,19.4702381
0.64,11
0.68,18.0952381
0.68,11.83928571
0.68,20.26785714
0.68,16.3452381
0.68,13.4702381
0.68,16.92261905
0.68,20.9702381
0.68,13.73214286
0.68,17.7202381
0.68,30.08596935
0.68,21.69642857
0.68,25.01785714
0.68,17.93452381
0.68,21.16666667
0.68,14.58928571
0.68,29.7797619
0.68,11.5297619
0.68,11.95238095
0.68,20.7797619
0.68,14.03571429
0.72,18.69047619
0.72,15.36904762
0.72,14.83928571
0.72,14.7797619
0.72,15.16071429
0.72,17.07738095
0.72,21.47619048
0.72,18.08928571
0.72,19.28571429
0.72,21.24404762
0.72,31.63525969
0.72,22.41071429
0.72,18.20238095
0.72,18.125
0.72,15.49404762
0.72,18.55952381
0.72,15.9047619
0.72,12.80357143
0.72,26.89880952
0.72,26.00595238
0.76,12.51785714
0.76,14.60119048
0.76,17.08928571
0.76,20.99404762
0.76,22.35714286
0.76,12.88095238
0.76,27.39285714
0.76,22.73809524
0.76,17.01785714
0.76,16.94642857
0.76,23.27380952
0.76,13.14285714
0.76,16.29166667
0.76,15.52380952
0.76,17.69047619
0.76,13.63095238
0.76,20.38690476
0.76,14.83333333
0.76,16.01785714
0.76,13.7202381
0.8,13.82738095
0.8,19.16666667
0.8,17.26190476
0.8,11.85119048
0.8,19.31547619
0.8,15.125
0.8,31.15797777
0.8,26.88095238
0.8,13.69642857
0.8,18.20238095
0.8,14.30357143
0.8,18.39285714
0.8,19.83333333
0.8,22
0.8,21.2797619
0.8,16.46428571
0.8,14.32142857
0.8,22.06547619
0.8,19.36309524
0.8,13.99404762
0.84,14.61309524
0.84,20.20238095
0.84,17.60714286
0.84,18.38095238
0.84,22.76785714
0.84,21.41666667
0.84,13.42857143
0.84,13.51785714
0.84,26.88690476
0.84,23.23214286
0.84,11.27380952
0.84,30.56735981
0.84,14.31547619
0.84,15.06547619
0.84,19.95238095
0.84,20.32142857
0.84,20.76190476
0.84,17.28571429
0.84,29.69283252
0.84,28.55278994
0.88,16.19047619
0.88,14.16071429
0.88,28.97619048
0.88,15.79761905
0.88,16.54166667
0.88,16.51785714
0.88,12.64880952
0.88,15.51190476
0.88,28.89672771
0.88,13.14880952
0.88,13.69047619
0.88,17.16071429
0.88,28.26190476
0.88,17.80952381
0.88,15.39285714
0.88,15.64880952
0.88,14.20238095
0.88,17.5952381
0.88,19.83928571
0.88,20.3452381
0.92,12.50595238
0.92,14.51785714
0.92,21.72619048
0.92,14.93452381
0.92,20.18452381
0.92,15.4047619
0.92,23.69642857
0.92,17.41666667
0.92,19.07738095
0.92,13.56547619
0.92,17.1547619
0.92,29.25
0.92,20.44642857
0.92,28.58333333
0.92,27.42261905
0.92,19.63690476
0.92,19.91071429
0.92,14.375
0.92,16.63690476
0.92,14.27380952
0.96,15.50595238
0.96,31.29424153
0.96,23.35119048
0.96,15.41071429
0.96,20.92261905
0.96,12.2202381
0.96,21.23214286
0.96,17.47619048
0.96,30.87392482
0.96,23.43452381
0.96,24.95833333
0.96,18.22619048
0.96,21.42857143
0.96,16.16666667
0.96,11.29761905
0.96,16.05952381
0.96,13.13095238
0.96,16.57738095
0.96,17.07142857
0.96,15.20833333
